Report ID,Report Version,Make,Model,Model Year,ADS Equipped?,Automation System Engaged?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,Weather,SV Contact Area,Country
30270-10561,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,22:41:00,Atlanta,GA ,Street,Dry,25.0,Dark - Lighted,Other Fixed Object,No Injuries Reported,Proceeding Straight,Clear,Front,US
30270-10563,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-03-21,08:49:00,Los Angeles,CA ,Street,Dry,30.0,Daylight,"Other, see Narrative",No Injuries Reported,Proceeding Straight,Clear,Top,US
30270-10570,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,00:48:00,Scottsdale,AZ ,Street,Wet,15.0,Dark - Lighted,SUV,No Injuries Reported,Proceeding Straight,Clear,Front,US
30270-10571,2,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,00:23:00,Venice,CA ,Intersection,Dry,30.0,Dark - Lighted,Motorcycle,No Injuries Reported,Proceeding Straight,Clear,Back,US
30270-10573,1,Jaguar,I-PACE,2021.0,Yes,ADS,2025-04-21,02:11:00,San Francisco,CA ,Intersection,Dry,20.0,Dark - Lighted,Passenger Car,No Injuries Reported,Stopped,Clear,Back,US
30270-10576,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,10:01:00,Los Angeles,CA ,Street,Dry,25.0,Daylight,Pickup Truck,No Injuries Reported,Stopped,Clear,Back,US
30270-10589,2,Jaguar,I-PACE,2021.0,Yes,ADS,2025-04-21,02:43:00,Phoenix,AZ ,Parking Lot,Dry,15.0,Dark - Lighted,SUV,No Injuries Reported,Stopped,Clear,Back,US
30270-10592,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,18:34:00,Los Angeles,CA ,Street,Dry,35.0,Daylight,Heavy Truck,No Injuries Reported,Parked,Clear,Nearside,US
30270-10594,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,00:59:00,Phoenix,AZ ,Intersection,Dry,25.0,Dark - Lighted,Passenger Car,No Injuries Reported,Stopped,Clear,Back,US
30270-10595,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,02:17:00,Tempe,AZ ,Street,Dry,25.0,Dark - Lighted,Passenger Car,No Injuries Reported,Stopped,Clear,Back,US
30270-10596,1,Zeekr,CM1e,2024.0,Yes,ADS,2025-04-21,12:54:00,Los Angeles,CA ,Parking Lot,Dry,15.0,Daylight,Passenger Car,No Injuries Reported,Backing,Clear,Back,US
30270-10598,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,07:34:00,Austin,TX ,Intersection,Wet,30.0,Daylight,Passenger Car,No Injuries Reported,Stopped,Rain,Back,US
30270-10599,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,00:41:00,Venice,CA ,Street,Dry,25.0,Dark - Lighted,Van,No Injuries Reported,Parked,Clear,Nearside,US
30270-10600,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,12:19:00,San Francisco,CA ,Street,Dry,30.0,Daylight,Passenger Car,No Injuries Reported,Proceeding Straight,Clear,Back,US
30270-10601,1,Jaguar,I-PACE,2021.0,Yes,ADS,2025-04-21,00:22:00,Phoenix,AZ ,Intersection,Dry,25.0,Dark - Lighted,Passenger Car,No Injuries Reported,Stopped,Clear,Back,US
30270-10602,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,01:29:00,San Francisco,CA ,Street,Dry,25.0,Dark - Lighted,"Other, see Narrative",No Injuries Reported,Proceeding Straight,Clear,Front,US
30270-10610,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,09:44:00,San Francisco,CA ,Intersection,Dry,25.0,Daylight,SUV,No Injuries Reported,Stopped,Clear,Back,US
30270-10613,1,Jaguar,I-PACE,2021.0,Yes,ADS,2025-04-21,07:44:00,San Francisco,CA ,Street,Dry,25.0,Daylight,Heavy Truck,No Injuries Reported,Stopped,Cloudy,Back,US
30270-10615,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,01:57:00,Venice,CA ,Parking Lot,Dry,15.0,Dark - Lighted,Passenger Car,No Injuries Reported,Parked,Clear,Front,US
30270-10618,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,23:41:00,Austin,TX ,Street,Dry,30.0,Dark - Lighted,Passenger Car,No Injuries Reported,Parked,Clear,Back,US
30270-10630,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,09:10:00,San Francisco,CA ,Street,Dry,25.0,Daylight,Passenger Car,No Injuries Reported,Proceeding Straight,Cloudy,Back,US
30270-10631,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-04-21,10:13:00,Tempe,AZ ,Parking Lot,Dry,25.0,Daylight,"Other, see Narrative",No Injuries Reported,Making Right Turn,Clear,Front,US
30270-10638,2,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,14:48:00,San Francisco,CA ,Street,Dry,25.0,Daylight,Motorcycle,No Injuries Reported,Stopped,Clear,Back,US
30270-10639,1,Jaguar,I-Pace,2021.0,Yes,ADS,2025-04-21,07:41:00,Tempe,AZ ,Intersection,Dry,65.0,Daylight,Passenger Car,No Injuries Reported,Stopped,Clear,Back,US
30270-10640,1,Jaguar,I-Pace,2021.0,Yes,ADS,2025-04-21,12:47:00,Phoenix,AZ ,Parking Lot,Dry,15.0,Daylight,SUV,No Injuries Reported,Stopped,Clear,Nearside,US
30270-10642,2,Jaguar,I-Pace,2024.0,Yes,ADS,2025-05-21,15:20:00,Austin,TX ,Street,Dry,25.0,Daylight,SUV,No Injuries Reported,Stopped,Clear,Back,US
30270-10648,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,20:34:00,Los Angeles,CA ,Street,Dry,25.0,Dark - Lighted,Passenger Car,No Injuries Reported,Stopped,Clear,Back,US
30270-10649,1,Jaguar,I-Pace,2021.0,Yes,ADS,2025-04-21,20:48:00,San Francisco,CA ,Street,Dry,25.0,Dark - Lighted,Passenger Car,No Injuries Reported,Proceeding Straight,Clear,Back,US
30270-10663,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-05-21,07:44:00,San Francisco,CA ,Street,Dry,25.0,Daylight,Heavy Truck,No Injuries Reported,Stopped,Clear,Front,US
30270-10664,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-05-21,07:06:00,Los Angeles,CA ,Street,Dry,25.0,Daylight,Heavy Truck,No Injuries Reported,Proceeding Straight,Cloudy,Back,US
30270-10666,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,01:15:00,San Francisco,CA ,Street,Dry,25.0,Dark - Lighted,Passenger Car,No Injuries Reported,Parked,Clear,Back,US
30270-10667,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,01:52:00,Scottsdale,AZ ,Street,Dry,15.0,Dark - Lighted,SUV,No Injuries Reported,Parked,Clear,Back,US
30270-10668,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,10:41:00,San Francisco,CA ,Intersection,Dry,25.0,Daylight,Pickup Truck,No Injuries Reported,Stopped,Clear,Back,US
30270-10669,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,12:28:00,Scottsdale,AZ ,Parking Lot,Dry,15.0,Daylight,Passenger Car,No Injuries Reported,Parked,Clear,Nearside,US
30270-10670,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,21:03:00,Tempe,AZ ,Parking Lot,Dry,15.0,Dark - Lighted,Passenger Car,No Injuries Reported,Parked,Clear,Front,US
30270-10671,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,21:42:00,San Francisco,CA ,Street,Dry,25.0,Dark - Lighted,SUV,No Injuries Reported,Stopped,Clear,Front,US
30270-10672,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-04-21,05:59:00,Los Angeles,CA ,Street,Dry,15.0,Dark - Lighted,SUV,No Injuries Reported,Stopped,Clear,Front,US
30270-10673,1,Jaguar,I-Pace,2024.0,Yes,ADS,2025-05-21,09:59:00,Los Angeles,CA ,Intersection,Dry,35.0,Daylight,Heavy Truck,No Injuries Reported,Stopped,Clear,Front,US
30270-10674,1,Jaguar,I-PACE,2024.0,Yes,ADS,2025-05-21,11:36:00,Phoenix,AZ ,Street,Dry,35.0,Daylight,"Other, see Narrative",No Injuries Reported,Proceeding Straight,Clear,Front,US
30270-10675,1,Jaguar,I-PACE,2021.0,Yes,ADS,2025-05-21,11:42:00,Phoenix,AZ ,Street,Wet,35.0,Daylight,Passenger Car,No Injuries Reported,Stopped,Rain,Back,US
