Report ID,Report Version,Make,Model,Model Year,Mileage,ADS Equipped?,Automation System Engaged?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,Property Damage?,SV Pre-Crash Movement,SV Precrash Speed (MPH),Within ODD?,CP Contact Area,Weather,SV Contact Area,Country
13781-4166,2,Tesla,Model Y,2022-01-01,1558.0,No,ADAS,2025-11-22,20:50:00,Stevensville,MD ,Highway / Freeway,Dry,No Unusual Conditions,50.0,Daylight,Unknown,Unknown,Unknown,Proceeding Straight,1.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Cloudy,Missing,US
13781-4181,2,Tesla,Model 3,2017-01-01,64824.0,No,ADAS,2025-11-22,23:08:00,Princeton,TX ,Highway / Freeway,Dry,No Unusual Conditions,60.0,Daylight,SUV,Unknown,Yes,Proceeding Straight,48.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Rear Left, Left, Rear",Clear,"Front Left, Front",US
13781-4182,2,Tesla,Model 3,2019-01-01,68151.0,No,ADAS,2025-11-22,09:33:00,Los Angeles,CA ,Highway / Freeway,Wet,No Unusual Conditions,55.0,Dark - Lighted,Other Fixed Object,Unknown,Yes,Proceeding Straight,59.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,"Cloudy, Rain","Front Left, Front, Front Right",US
13781-4183,2,Tesla,Model X,2023-01-01,365.0,No,ADAS,2025-11-22,22:04:00,Costa Mesa,CA ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,Passenger Car,Unknown,Yes,"Other, see Narrative",7.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Front Left, Front, Front Right",Clear,"Rear Left, Rear, Rear Right",US
13781-4184,2,Tesla,Model S,2021-01-01,31265.0,No,ADAS,2025-11-22,23:10:00,Houston,TX ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Dawn / Dusk,Heavy Truck,Unknown,Yes,Proceeding Straight,48.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Front Left,Cloudy,"Rear Right, Right",US
13781-4185,2,Tesla,Model S,2022-01-01,5781.0,No,ADAS,2025-11-22,23:32:00,Grants Pass,OR ,Highway / Freeway,Unknown,Unknown,45.0,Unknown,Unknown,Unknown,Yes,Proceeding Straight,16.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Missing,Missing,US
13781-4186,2,Tesla,Model X,2017-01-01,41244.0,No,ADAS,2025-11-22,09:13:00,Phoenix,AZ ,Street,Dry,No Unusual Conditions,25.0,Dark - Not Lighted,Other Fixed Object,Unknown,Yes,Proceeding Straight,22.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Missing,"Front Left, Front, Front Right",US
13781-4187,2,Tesla,Model X,2018-01-01,42183.0,No,ADAS,2025-11-22,12:20:00,Austin,TX ,Street,Dry,No Unusual Conditions,30.0,Dark - Lighted,SUV,Unknown,Yes,Proceeding Straight,32.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Front Left, Front",Cloudy,"Rear Left, Left, Front Left",US
13781-4188,2,Tesla,Model Y,2022-01-01,6249.0,No,ADAS,2025-11-22,20:50:00,Daphne,AL ,Highway / Freeway,Dry,Unknown,55.0,Daylight,Heavy Truck,Unknown,Yes,"Other, see Narrative",4.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Front Left, Front, Front Right",Cloudy,"Rear Left, Rear, Rear Right",US
13781-4189,2,Tesla,Model Y,2020-01-01,62477.0,No,ADAS,2025-11-22,02:28:00,Hawthorne,CA ,Highway / Freeway,Dry,Traffic Incident,65.0,Dark - Lighted,SUV,Unknown,Yes,"Other, see Narrative",21.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Front Left, Front, Front Right",Clear,"Rear Left, Rear, Rear Right",US
